likes_count,name,created_at,retweets_count,id,replies_count,hashtags,language,cashtags,tweet,username
322,THEWIZARD ( dont dm u ),2021-11-11 21:54:54 UTC,63,1458916166634807304,31,[],en,"['zcx', 'qrdo', 'zcx', 'luna', 'mlt', 'nftb', 'brkl', 'floki']",$ZCX  binance shared liquidity  Smart advisor on board  Token utility   I expect much higher numbers   Baggs loaded   $QRDO $ZCX $LUNA $MLT $NFTB $BRKL $FLOKI  https://t.co/kN34MCKRiD,cryptowizardd
50,THEWIZARD ( dont dm u ),2021-11-11 16:16:17 UTC,0,1458830952935866368,5,[],en,[],They'll be issuing liquid tokens as a representation of your stake. So now you can use the liquid tokens to leverage more $LUNA and restake it again . That earns you more rewards. Do this multiple times and the rewards shoot through the roof.,cryptowizardd
38,THEWIZARD ( dont dm u ),2021-11-11 16:16:17 UTC,2,1458830951606280193,1,[],en,['luna'],They are also adding liquid staking on top. That alone makes Stader a promising project… But there is more: They solve the 21 days unbonding period. It will still take 21 days to undelegate your $LUNA. But the fun part is that you can use your staked LUNA without unstaking it.,cryptowizardd
168,THEWIZARD ( dont dm u ),2021-11-11 16:04:58 UTC,19,1458828102793109505,15,['terra'],en,[],👀 getting some   @TeamKujira defently a good project that is building on #Terra,cryptowizardd
1348,THEWIZARD ( dont dm u ),2021-11-11 06:22:27 UTC,49,1458681509188182024,122,['alhamdulillah'],en,"['luna', 'qrdo', 'mlt', 'nftb', 'floki']",I never showed of on twitter. I dont need to tell y how much millions i made.  However i can say that i outperformed 95% of CT surely.  Stay low. Enjoy life  #Alhamdulillah   $LUNA $QRDO $MLT $NFTB $FLOKI,cryptowizardd
710,THEWIZARD ( dont dm u ),2021-11-10 17:36:38 UTC,41,1458488784387989510,78,[],en,"['luna', 'floki', 'fet', 'vgx']",One of my best investments this year $LUNA X 400  Along with  $FLOKI X 150 $FET X 130 $VGX X 80  HIGHEST ROI  https://t.co/4iBCTpAUOE,cryptowizardd
272,THEWIZARD ( dont dm u ),2021-11-09 17:20:56 UTC,11,1458122445047619588,18,[],en,['luna'],Doubling down   My wallet is gonna make a New ath $LUNA,cryptowizardd
273,THEWIZARD ( dont dm u ),2021-11-09 17:20:38 UTC,11,1458122369512443911,8,[],en,['luna'],@stablekwon Doubling down.  3 digits $luna beoy,cryptowizardd
540,THEWIZARD ( dont dm u ),2021-11-06 21:18:11 UTC,64,1457094989935259656,49,[],en,"['fet', 'fet', 'qrdo', 'sha', 'link', 'luna', 'trac']",$FET  Htf says moon  $fet $qrdo $sha $link $luna $TRAC  https://t.co/TTi7kJztG2,cryptowizardd
374,THEWIZARD ( dont dm u ),2021-11-04 19:56:55 UTC,21,1456349762765086725,16,[],en,['luna'],It is $LUNA 🌖,cryptowizardd
362,THEWIZARD ( dont dm u ),2021-11-04 03:02:46 UTC,14,1456094541874929665,58,[],en,['luna'],Me shilling $Luna around $1 to @Eunicedwong   Good news she bought 😏  At that time i alrdy pulled x 7   ⏳⏳🌖🌖🌖  https://t.co/XlALTuSRL0,cryptowizardd
496,THEWIZARD ( dont dm u ),2021-11-04 02:56:45 UTC,51,1456093027878019073,49,[],en,"['luna', 'anc']",$LUNA New ath  $ANC next  If u know u know  https://t.co/UpPjK2UBk7,cryptowizardd
470,THEWIZARD ( dont dm u ),2021-11-03 23:29:33 UTC,38,1456040883850301443,92,[],en,['luna'],Is that the $LUNA moon ?  https://t.co/KiWGyyQ5zL,cryptowizardd
232,THEWIZARD ( dont dm u ),2021-11-02 13:54:28 UTC,22,1455533773840424967,32,[],en,"['cws', 'vra', 'mtv', 'floki', 'nftb', 'mlt', 'fet', 'luna', 'kcs', 'dot', 'atom']",Buying more $CWS down here.  We all gonna make it  Trust the procces  $VRA $MTV $FLOKI $NFTB $MLT $FET $LUNA $KCS $DOT $ATOM  https://t.co/T1GmkfRwvl,cryptowizardd
202,THEWIZARD ( dont dm u ),2021-10-30 21:37:55 UTC,18,1454563239120023556,15,"['terra', 'luna']",en,['orion'],$ORION under $1 is a steal   I expect this to run hard.  #terra #luna #  https://t.co/QrAZfV98lb,cryptowizardd
1185,THEWIZARD ( dont dm u ),2021-10-29 22:46:57 UTC,102,1454218225659621379,104,[],en,"['fet', 'chz', 'luna']",Remember i trade alot of coins. But there is only a few that i BELIEVE Will succeed   1 $FET  2 $CHZ   3 $LUNA  Take profits and make sure u dont hodl the most shitcoins.,cryptowizardd
717,THEWIZARD ( dont dm u ),2021-10-28 23:52:47 UTC,49,1453872403411578884,29,[],en,['luna'],Honest at this point $luna deserves to be alrdy 3 digits.  Soon 🌖✅🏆,cryptowizardd
