,datetime,asset,price_usd,marketcap_usd,circulation
282,2021-09-07 00:00:00+00:00,USDT,1.00049309147467,67574681964.0,34015460124.375195
283,2021-09-08 00:00:00+00:00,USDT,1.00024027106506,68641866579.0,34015460124.375195
284,2021-09-09 00:00:00+00:00,USDT,1.00014620266306,68555654589.0,34009538171.176235
285,2021-09-10 00:00:00+00:00,USDT,1.00032006793121,68371489554.0,34009538171.17624
286,2021-09-11 00:00:00+00:00,USDT,1.00097850227517,68357438259.0,34009538171.17624
287,2021-09-12 00:00:00+00:00,USDT,0.99969769107614,68319955758.0,34009538171.17624
288,2021-09-13 00:00:00+00:00,USDT,1.00023517618208,68276669007.0,34009538171.176235
289,2021-09-14 00:00:00+00:00,USDT,1.00048133145914,68293871708.0,34009538171.176235
290,2021-09-15 00:00:00+00:00,USDT,1.00045982780777,68292662682.0,34009538171.176235
291,2021-09-16 00:00:00+00:00,USDT,1.00045070775213,68284536755.0,34009538171.176235
292,2021-09-17 00:00:00+00:00,USDT,0.99964835819114,68229975197.0,34009538171.176235
293,2021-09-18 00:00:00+00:00,USDT,0.99947266460049,68248097522.0,34009538171.176235
294,2021-09-19 00:00:00+00:00,USDT,1.00044169176893,68322670124.0,34009538171.176235
295,2021-09-20 00:00:00+00:00,USDT,0.99991601748729,68286770510.0,34009538171.17624
296,2021-09-21 00:00:00+00:00,USDT,1.00008810686069,68743562132.0,34009538171.17624
297,2021-09-22 00:00:00+00:00,USDT,1.00003966711316,68672329781.0,34009538171.17624
298,2021-09-23 00:00:00+00:00,USDT,1.00062058039331,68642677736.0,34009538171.17624
